Block_ID Block_group Grid_point_ID Pos_x Pos_y Pos_z Disp_x Disp_y Disp_z
1 brick 1 246.201 0 1985.2 0 0 0
1 brick 2 246.201 65 1985.2 0 0 0
1 brick 3 201.895 0 2056.71 0 0 0
1 brick 4 201.895 65 2056.71 0 0 0
1 brick 5 274.882 0 2055.94 0 0 0
1 brick 6 274.882 65 2055.94 0 0 0
2 brick 7 197.255 0 1677.11 0 0 0
2 brick 8 197.255 65 1677.11 0 0 0
2 brick 9 243.154 0 1746.98 0 0 0
2 brick 10 243.154 65 1746.98 0 0 0
2 brick 11 271.133 0 1680 0 0 0
2 brick 12 271.133 65 1680 0 0 0
3 brick 13 348.902 0 2062.43 0 0 0
3 brick 14 348.902 65 2062.43 0 0 0
3 brick 15 405.405 0 2060.74 0 0 0
3 brick 16 405.405 65 2060.74 0 0 0
3 brick 17 383.178 0 1993.04 0 0 0
3 brick 18 383.178 65 1993.04 0 0 0
4 brick 19 383.178 0 1993.04 0 0 0
4 brick 20 383.178 65 1993.04 0 0 0
4 brick 21 405.405 0 2060.74 0 0 0
4 brick 22 405.405 65 2060.74 0 0 0
4 brick 23 450.756 0 2021.93 0 0 0
4 brick 24 450.756 65 2021.93 0 0 0
5 brick 25 246.201 0 1985.2 0 0 0
5 brick 26 246.201 65 1985.2 0 0 0
5 brick 27 176.351 0 2000.78 0 0 0
5 brick 28 176.351 65 2000.78 0 0 0
5 brick 29 201.895 0 2056.71 0 0 0
5 brick 30 201.895 65 2056.71 0 0 0
6 brick 31 119.359 0 1761.58 0 0 0
6 brick 32 119.359 65 1761.58 0 0 0
6 brick 33 171.36 0 1733.57 0 0 0
6 brick 34 171.36 65 1733.57 0 0 0
6 brick 35 118.229 0 1684.26 0 0 0
6 brick 36 118.229 65 1684.26 0 0 0
7 brick 37 197.255 0 1677.11 0 0 0
7 brick 38 197.255 65 1677.11 0 0 0
7 brick 39 171.36 0 1733.57 0 0 0
7 brick 40 171.36 65 1733.57 0 0 0
7 brick 41 243.154 0 1746.98 0 0 0
7 brick 42 243.154 65 1746.98 0 0 0
8 brick 43 60.1502 0 1725.54 0 0 0
8 brick 44 60.1502 65 1725.54 0 0 0
8 brick 45 119.359 0 1761.58 0 0 0
8 brick 46 119.359 65 1761.58 0 0 0
8 brick 47 118.229 0 1684.26 0 0 0
8 brick 48 118.229 65 1684.26 0 0 0
9 brick 49 307.452 0 1612.16 0 0 0
9 brick 50 307.452 65 1612.16 0 0 0
9 brick 51 345.037 0 1674.16 0 0 0
9 brick 52 345.037 65 1674.16 0 0 0
9 brick 53 388.223 0 1612.16 0 0 0
9 brick 54 388.223 65 1612.16 0 0 0
10 brick 55 393.434 0 2123.63 0 0 0
10 brick 56 393.434 65 2123.63 0 0 0
10 brick 57 348.902 0 2062.43 0 0 0
10 brick 58 348.902 65 2062.43 0 0 0
10 brick 59 315.268 0 2123.63 0 0 0
10 brick 60 315.268 65 2123.63 0 0 0
11 brick 61 197.255 0 1677.11 0 0 0
11 brick 62 197.255 65 1677.11 0 0 0
11 brick 63 271.133 0 1680 0 0 0
11 brick 64 271.133 65 1680 0 0 0
11 brick 65 229.286 0 1612.16 0 0 0
11 brick 66 229.286 65 1612.16 0 0 0
12 brick 67 156.331 0 2123.63 0 0 0
12 brick 68 156.331 65 2123.63 0 0 0
12 brick 69 201.895 0 2056.71 0 0 0
12 brick 70 201.895 65 2056.71 0 0 0
12 brick 71 120.182 0 2053.03 0 0 0
12 brick 72 120.182 65 2053.03 0 0 0
13 brick 73 450.756 0 1863.41 0 0 0
13 brick 74 450.756 65 1863.41 0 0 0
13 brick 75 383.49 0 1904.96 0 0 0
13 brick 76 383.49 65 1904.96 0 0 0
13 brick 77 450.756 0 1944.17 0 0 0
13 brick 78 450.756 65 1944.17 0 0 0
14 brick 79 383.292 0 1825.35 0 0 0
14 brick 80 383.292 65 1825.35 0 0 0
14 brick 81 316.717 0 1864.27 0 0 0
14 brick 82 316.717 65 1864.27 0 0 0
14 brick 83 383.49 0 1904.96 0 0 0
14 brick 84 383.49 65 1904.96 0 0 0
15 brick 85 315.268 0 2123.63 0 0 0
15 brick 86 315.268 65 2123.63 0 0 0
15 brick 87 274.882 0 2055.94 0 0 0
15 brick 88 274.882 65 2055.94 0 0 0
15 brick 89 234.497 0 2123.63 0 0 0
15 brick 90 234.497 65 2123.63 0 0 0
16 brick 91 383.292 0 1825.35 0 0 0
16 brick 92 383.292 65 1825.35 0 0 0
16 brick 93 383.49 0 1904.96 0 0 0
16 brick 94 383.49 65 1904.96 0 0 0
16 brick 95 450.756 0 1863.41 0 0 0
16 brick 96 450.756 65 1863.41 0 0 0
17 brick 97 381.001 0 1739.43 0 0 0
17 brick 98 381.001 65 1739.43 0 0 0
17 brick 99 404.552 0 1670.82 0 0 0
17 brick 100 404.552 65 1670.82 0 0 0
17 brick 101 345.037 0 1674.16 0 0 0
17 brick 102 345.037 65 1674.16 0 0 0
18 brick 103 383.49 0 1904.96 0 0 0
18 brick 104 383.49 65 1904.96 0 0 0
18 brick 105 316.322 0 1939.67 0 0 0
18 brick 106 316.322 65 1939.67 0 0 0
18 brick 107 383.178 0 1993.04 0 0 0
18 brick 108 383.178 65 1993.04 0 0 0
19 brick 109 450.756 0 1707.88 0 0 0
19 brick 110 450.756 65 1707.88 0 0 0
19 brick 111 381.001 0 1739.43 0 0 0
19 brick 112 381.001 65 1739.43 0 0 0
19 brick 113 450.756 0 1785.64 0 0 0
19 brick 114 450.756 65 1785.64 0 0 0
20 brick 115 450.756 0 1944.17 0 0 0
20 brick 116 450.756 65 1944.17 0 0 0
20 brick 117 383.49 0 1904.96 0 0 0
20 brick 118 383.49 65 1904.96 0 0 0
20 brick 119 383.178 0 1993.04 0 0 0
20 brick 120 383.178 65 1993.04 0 0 0
21 brick 121 234.497 0 2123.63 0 0 0
21 brick 122 234.497 65 2123.63 0 0 0
21 brick 123 201.895 0 2056.71 0 0 0
21 brick 124 201.895 65 2056.71 0 0 0
21 brick 125 156.331 0 2123.63 0 0 0
21 brick 126 156.331 65 2123.63 0 0 0
22 brick 127 274.882 0 2055.94 0 0 0
22 brick 128 274.882 65 2055.94 0 0 0
22 brick 129 201.895 0 2056.71 0 0 0
22 brick 130 201.895 65 2056.71 0 0 0
